name,manufacturer,description,category_id,gender,price,sale_price,reviews,rating,image,listed
Cotton Polo Shirt,Mikes Corp,Classic cotton polo shirt perfect for casual wear.,3,Male,42.00,35.70,63,3.4,/assets/items/Cotton_Polo_Shirt.png,True
Chunky White Sneakers,Blue Harbor,Comfortable chunky sneakers designed for daily activities.,4,Female,68.00,51.00,960,3.6,/assets/items/Chunky_White_Sneakers.png,True
Oversized White Tee,Oak & Pine,Relaxed oversized tee in soft cotton for everyday comfort.,3,Unisex,32.00,24.00,697,3.3,/assets/items/Oversized_White_Tee.png,True
Platform Sandals,Urban Pulse,Trendy platform sandals with cushioned soles for comfort.,4,Female,58.00,40.60,1032,3.8,/assets/items/Platform_Sandals.png,True
Short Sleeve Linen Shirt,West End Co,Lightweight linen shirt ideal for warm weather.,3,Male,38.00,28.50,52,3.4,/assets/items/Short_Sleeve_Linen_Shirt.png,True
Leather Slide Sandals,West End Co,Soft leather slides with cushioned footbed for all-day wear.,4,Female,45.00,31.50,752,4.3,/assets/items/Leather_Slide_Sandals.png,True
Wide-Leg Cropped Jeans,Thread Theory,Stylish wide-leg cropped jeans with a modern silhouette.,2,Male,56.00,39.20,1302,3.3,/assets/items/Wide_Leg_Cropped_Jeans.png,True
Ankle Grazer Jeans,Summit Apparel,Contemporary ankle-length jeans with stretch fabric.,2,Female,62.00,46.50,171,4.2,/assets/items/Ankle_Grazer_Jeans.png,True
Mesh Trucker Hat,Golden Stitch,Breathable mesh trucker cap with adjustable back.,1,Female,24.00,18.00,26,3.4,/assets/items/Mesh_Trucker_Hat.png,True
Resort Print Shirt,Mikes Corp,Lightweight tropical print shirt ideal for vacation wear.,3,Female,48.00,33.60,972,3.7,/assets/items/Resort_Print_Shirt.png,True
Visor Cap,Thread Theory,Classic visor cap suitable for outdoor activities.,1,Unisex,22.00,16.50,94,4.9,/assets/items/Visor_Cap.png,True
Cotton Dad Cap,Golden Stitch,Vintage-style cotton dad cap with embroidered front.,1,Male,26.00,19.50,40,4.4,/assets/items/Cotton_Dad_Cap.png,True
Foldable Travel Hat,Golden Stitch,Packable hat perfect for travelers and outdoor adventures.,1,Male,32.00,22.40,1393,3.2,/assets/items/Foldable_Travel_Hat.png,True
Open-Toe Mule Sandals,Summit Apparel,Comfortable mules with open toe design for easy wear.,4,Male,42.00,29.40,869,4.7,/assets/items/Open_Toe_Mule_Sandals.png,True
Waffle Knit T-Shirt,Oak & Pine,Textured waffle knit tee in breathable cotton.,3,Male,34.00,24.50,593,4.2,/assets/items/Waffle_Knit_T_Shirt.png,True
Light Wash Straight Jeans,Oak & Pine,Classic light-wash jeans with a straight leg fit.,2,Female,52.00,36.40,595,3.9,/assets/items/Light_Wash_Straight_Jeans.png,True
Slim Tapered Jeans,Summit Apparel,Modern slim-tapered jeans made from soft cotton blend.,2,Unisex,58.00,40.60,365,3.5,/assets/items/Slim_Tapered_Jeans.png,True
Sport Running Shoes,Thread Theory,Lightweight running shoes with responsive cushioning.,4,Male,78.00,54.60,187,4.3,/assets/items/Sport_Running_Shoes.png,True
